GRADUAÇÃO EM SISTEMA DA INFORMAÇÃO - ESTÁCIO DE SÁ,,,
PERIODO,CÓDIGO,DISCIPLINA,C.H.
1° ,CEL0064,ANÁLISE TEXTUAL,36
,GST0251,INTRODUÇÃO À ADMINISTRAÇÃO,36
,CEL0270,LÓGICA MATEMÁTICA,36
,CCT0164,ORGANIZAÇÃO DE COMPUTADORES,73
Total de horas desse semestre:,,,181
2° ,CCT0135,ALGORITMOS,72
,CCT0136,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,73
,CCT0167,TECNOLOGIAS WEB,36
Total de horas desse semestre:,,,181
3° ,CCT0200,"PROPRIEDADE INTELECTUAL, DIREITO E ÉTICA",36
,CCT0201,QUALIDADE DE SOFTWARE,36
,CCT0166,SISTEMAS OPERACIONAIS,73
Total de horas desse semestre:,,,145
4° ,GST0111,GESTÃO DE PROCESSOS,73
,CCT0209,INOVAÇÃO TECNOLOGICA,36
,CCT0194,PROCESSOS DE DESENVOLVIMENTO DE SOFTWARE,36
,CCT0203,TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,36
Total de horas desse semestre:,,,181
5° ,CCT0174,ESTRUTURA DE DADOS,109
,CCT0183,GESTÃO DA QUALIDADE EM PROJETOS,109
,CCT0185,GESTÃO DE SEGURANÇA DA INFORMAÇÃO,36
Total de horas desse semestre:,,,254
6° ,CCT0186,GOVERNANÇA EM TECNOLOGIA DA INFORMAÇÃO,110
,CEL0272,PROBABILIDADE E ESTATÍSTICA,36
,CCT0165,REDES DE COMPUTADORES,72
Total de horas desse semestre:,,,218
7° ,CCT0176,LINGUAGEM DE PROGRAMAÇÃO,110
,CCT0190,MEDIDAS DE ESFORÇO DE DESENVOLVIMENTO DE SOFTWARE,36
,CCT0191,MODELAGEM DE DADOS,72
,CCT0192,MODELAGEM DE SISTEMAS,109
Total de horas desse semestre:,,,327
8° ,CCT0170,DESENVOLVIMENTO DE SOFTWARE,73
,CCT0177,MATEMÁTICA DISCRETA,73
,CEL0072,METODOLOGIA CIENTÍFICA,36
Total de horas desse semestre:,,,182
9° ,CCT0199,IMPLEMENTAÇÃO DE BANCO DE DADOS,72
,CCT0208,PARADIGMAS DE ANÁLISE E DESENVOLVIMENTOS,73
,CCT0195,PROGRAMAÇÃO ORIENTADA A OBJETOS,110
Total de horas desse semestre:,,,255
10° ,CEL0286,METODOLOGIA DA PESQUISA,36
,CCT0152,PADRÕES DE DESENHO DE SOFTWARE,127
Total de horas desse semestre:,,,163
11° ,CCT0180,ARQUITETURA DE SISTEMAS DISTRIBUIDOS,36
,CCT0173,ENTREGA E SUPORTE EM TECNOLOGIA DA INFORMAÇÃO,73
,CCT0175,GESTÃO DE SERVIÇOS EM TECNOLOGIA DA INFORMAÇÃO,110
Total de horas desse semestre:,,,219
12° ,CCT0188,INTELIGÊNCIA ARTIFICIAL,36
,CCT0196,PROGRAMAÇÃO PARA DISPOSITIVOS MÓVEIS,73
Total de horas desse semestre:,,,109
,,,
13° ,CCT0182,DESENVOLVIMENTO DE SISTEMAS WEB,110
,GST0189,GESTÃO DA CADEIA DE SUPRIMENTOS,73
,CCT0206,PROJETO DO TCC EM SISTEMAS DE INFORMAÇÃO I,36
Total de horas desse semestre:,,,219
14° ,CCT0189,INTELIGÊNCIA EMPRESARIAL,36
,GST0184,NEGÓCIOS ELETRÔNICOS,36
,CCT0121,PROJETO DO TCC EM SISTEMAS DE INFORMAÇÃO II,36
Total de horas desse semestre:,,,108
15° ,CCT0181,AUDITORIA DE SISTEMAS,36
,CCT0172,ENGENHARIA DE USABILIDADE,73
,CCT0205,TCC EM SISTEMAS DA INFORMAÇÃO I,36
Total de horas desse semestre:,,,145
16° ,CCT0124,TCC EM SISTEMA DA INFORMAÇÃO II,36
,CCT0204,TESTES DE SOFTWARE,36
Total de horas desse semestre:,,,72
Total de horas do curso:,,,2959
